,File Name,Latitude,Longitude,ImagePath,TestType,Temperature (°C),Conductivity (µS/cm),Salinity (PSS),Density (kg/m³)
49,CC2435009_20250514_195326,40.2832993,-106.8540197,data/profiles\profile_CC2435009_20250514_195326.png,cast,11.711775923416036,318.840576171875,0.2065706412898779,999.6946266103016
50,CC2435009_20250514_195430,40.2834615,-106.8537321,data/profiles\profile_CC2435009_20250514_195430.png,cast,11.51097272705481,316.8358459472656,0.2062819557256576,999.716432516154
51,CC2435009_20250514_195603,40.2834576,-106.8537377,data/profiles\profile_CC2435009_20250514_195603.png,cast,11.51509619762826,316.2249755859375,0.2058528597386551,999.7156491680488
52,CC2435009_20250514_195634,40.2834334,-106.8536677,data/profiles\profile_CC2435009_20250514_195634.png,cast,11.512672750903224,316.5219394906484,0.2060636218353952,999.7160771326818
53,CC2435009_20250514_195811,40.2836225,-106.8534332,data/profiles\profile_CC2435009_20250514_195811.png,cast,11.239181518554688,313.4971008300781,0.2054635121697964,999.7447867622192
54,CC2435009_20250514_195848,40.2836327,-106.8534469,data/profiles\profile_CC2435009_20250514_195848.png,cast,11.23849105834961,313.2552795410156,0.2053046162798287,999.744734627904
55,CC2435009_20250514_200411,40.2841516,-106.8537745,data/profiles\profile_CC2435009_20250514_200411.png,cast,11.16962718963623,313.46392822265625,0.2058045875149514,999.7523212958976
56,CC2435009_20250514_200451,40.2841392,-106.8537558,data/profiles\profile_CC2435009_20250514_200451.png,cast,11.281427383422852,313.4766845703125,0.2052296416235608,999.7401590303892
57,CC2435009_20250515_175044,40.2832779,-106.8540469,data/profiles\profile_CC2435009_20250515_175044.png,cast,11.248933792114258,316.2955322265625,0.2072930217535089,999.7451971932084
58,CC2435009_20250515_175623,40.2832785,-106.8540309,data/profiles\profile_CC2435009_20250515_175623.png,cast,11.405042115022429,316.6419982910156,0.2067057891275981,999.7281789111206
59,CC2435009_20250515_175944,40.283454,-106.8537378,data/profiles\profile_CC2435009_20250515_175944.png,cast,11.458252957530483,316.95806884765625,0.2066388092195323,999.7224108050544
60,CC2435009_20250515_180950,40.283627,-106.8534711,data/profiles\profile_CC2435009_20250515_180950.png,cast,11.37024016872264,316.80502319335943,0.2069973242784448,999.7321259214442
61,CC2435009_20250515_192831,40.2834424,-106.8537465,data/profiles\profile_CC2435009_20250515_192831.png,cast,11.33717938002414,314.1923217773437,0.2054193824153562,999.7344072333068
62,CC2435009_20250515_200231,40.2832785,-106.8540156,data/profiles\profile_CC2435009_20250515_200231.png,cast,11.390115946935788,314.98828125,0.2056768732609966,999.7289693569192
63,CC2435009_20250515_200555,40.2836446,-106.8534636,data/profiles\profile_CC2435009_20250515_200555.png,cast,11.312533635222485,314.35572453520405,0.2056573586780938,999.7372071113142
64,CC2435009_20250515_205326,40.2728781,-106.8390756,,point,7.894485950469972,152.234130859375,0.1069610031332224,999.9439066063
65,CC2435009_20250515_205636,40.2728808,-106.8390644,,point,7.91677188873291,147.10916137695312,0.1032416301903273,999.9409313389368
66,CC2435009_20250515_211131,40.2765229,-106.8423556,data/profiles\profile_CC2435009_20250515_211131.png,cast,11.474281311035156,314.7557678222656,0.2050840839013309,999.7194639780276
67,CC2435009_20250515_213434,40.2832435,-106.8540499,data/profiles\profile_CC2435009_20250515_213434.png,cast,11.29698159088658,313.8817749023437,0.2054204804856511,999.7386664814992
68,CC2435009_20250515_213542,40.283467,-106.8537339,data/profiles\profile_CC2435009_20250515_213542.png,cast,11.287639617919922,313.6831970214844,0.2053358933687379,999.7395868366256
69,CC2435009_20250515_213650,40.2836427,-106.8534505,data/profiles\profile_CC2435009_20250515_213650.png,cast,11.246638460268038,313.2450866699219,0.2052553097964587,999.7438407099183
70,CC2435009_20250516_175050,40.2832834,-106.8540702,data/profiles\profile_CC2435009_20250516_175050.png,cast,11.00114631652832,314.6830444335937,0.2075141884027262,999.771005902714
71,CC2435009_20250516_175230,40.2832814,-106.8540599,data/profiles\profile_CC2435009_20250516_175230.png,cast,10.99586582183838,312.80194091796875,0.2062696064985995,999.7705669475672
72,CC2435009_20250516_175439,40.2832712,-106.8540448,data/profiles\profile_CC2435009_20250516_175439.png,cast,11.155419965121078,314.6512451171875,0.206678693830723,999.7544835032112
73,CC2435009_20250516_175707,40.283452,-106.8537444,data/profiles\profile_CC2435009_20250516_175707.png,cast,11.26626682281494,314.45672607421875,0.2059667203051484,999.742334457757
74,CC2435009_20250516_175824,40.2834601,-106.8537442,data/profiles\profile_CC2435009_20250516_175824.png,cast,11.355878829956056,318.714599609375,0.208352619072494,999.734718048286
75,CC2435009_20250516_180000,40.2834587,-106.8537436,data/profiles\profile_CC2435009_20250516_180000.png,cast,11.36695957183838,314.68731689453125,0.2055959613300348,999.7313773944396
76,CC2435009_20250516_180256,40.2836187,-106.8534685,data/profiles\profile_CC2435009_20250516_180256.png,cast,11.085075378417969,318.10760498046875,0.209382549519404,999.76387764226
77,CC2435009_20250516_180406,40.2836342,-106.8534457,data/profiles\profile_CC2435009_20250516_180406.png,cast,11.116909181697778,314.86151123046875,0.2070231442207089,999.7587433814248
78,CC2435009_20250516_180530,40.2836331,-106.8534626,data/profiles\profile_CC2435009_20250516_180530.png,cast,11.016160011291504,310.7054748535156,0.2047458519479969,999.7673032171205
79,CC2435009_20250516_180646,40.2836339,-106.8534894,data/profiles\profile_CC2435009_20250516_180646.png,cast,11.271666086873466,313.68731689453125,0.2054218879413485,999.7413387034642
80,CC2435009_20250517_163453,40.2840946,-106.8537164,data/profiles\profile_CC2435009_20250517_163453.png,cast,11.070608139038086,312.97833251953125,0.2059960681343612,999.7627090190916
81,CC2435009_20250517_163951,40.2841314,-106.8537554,data/profiles\profile_CC2435009_20250517_163951.png,cast,11.130294768659484,312.40889384032846,0.2052995681035695,999.7560069685112
82,CC2435009_20250517_164919,40.284239,-106.8517614,data/profiles\profile_CC2435009_20250517_164919.png,cast,11.112960815429688,313.0448913574219,0.2058189298981928,999.758206804898
83,CC2435009_20250517_170058,40.2849187,-106.8521215,data/profiles\profile_CC2435009_20250517_170058.png,cast,11.183136784513952,313.8869549992433,0.206018627228954,999.7510825434476
84,CC2435009_20250517_170414,40.284242,-106.8530193,data/profiles\profile_CC2435009_20250517_170414.png,cast,11.083267232423896,312.5429382324219,0.205635872147361,999.7611247341938
85,CC2435009_20250517_171019,40.2849844,-106.8537964,data/profiles\profile_CC2435009_20250517_171019.png,cast,11.061896324157717,313.3639221191406,0.2063021423279893,999.7638437587202
86,CC2435009_20250517_171326,40.285537,-106.8535995,data/profiles\profile_CC2435009_20250517_171326.png,cast,10.905908584594728,311.763916015625,0.2060401167163459,999.7794896772812
87,CC2435009_20250517_171516,40.2859736,-106.8537775,data/profiles\profile_CC2435009_20250517_171516.png,cast,10.846013266198792,310.0438385073605,0.2051879292765233,999.7848229564624
88,CC2435009_20250517_171644,40.286244,-106.8538334,data/profiles\profile_CC2435009_20250517_171644.png,cast,10.869864463806152,312.0144958496094,0.2064000650721936,999.7833899520332
89,CC2435009_20250517_171815,40.2861892,-106.854834,data/profiles\profile_CC2435009_20250517_171815.png,cast,10.84196156338315,310.42546405402965,0.2054683091212383,999.7854474128344
