% Device,CC2435009
% File name,CC2435009_20250517_174752
% Cast time (UTC),2025-05-17 17:47:52
% Cast time (local),2025-05-17 11:47:52
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2863941
% Start longitude,-106.8543605
% Start altitude,2182.06591796875
% Start GPS horizontal error(Meter),4.3460001945495608
% Start GPS vertical error(Meter),4.9380002021789552
% Start GPS number of satellites,13
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),21.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15317122886758397,11.029889252232717,312.00119018554688,432.9755054218112,0.2055496380987113,1451.57732772537,999.7665317499016
0.45,0.45888109477425984,10.935753990098477,310.99285852207924,432.70673909857072,0.20535991575788784,1451.2173055385318,999.777374048588
0.74999999999999984,0.7647973782436504,10.799583435593469,309.5602386889064,432.35173287118256,0.20510121822468778,1450.6928756400502,999.79223052725
1.05,1.0707107665701376,10.768011767095539,309.11865362686188,432.11607013509312,0.20496571886323766,1450.5746258484742,999.79667813452
1.35,1.376623004151963,10.746499042512934,308.77419197459744,431.89431167423632,0.20484329384205568,1450.4954890040915,999.80013277539088
1.65,1.6825341459790451,10.718708939741466,308.42412532091832,431.74030427756936,0.20474982563095267,1450.3918715857162,999.80422100496496
1.95,1.988444219999071,10.699318355189174,308.16833667048608,431.61655581820296,0.20467637495382611,1450.3209696691168,999.80749301221
2.25,2.2943532923892912,10.675565748362253,307.80883088521408,431.4000695270608,0.20455500080064531,1450.2329473698698,999.811148721459
2.55,2.6002612102770316,10.647004599981322,307.70147795672488,431.59513879167016,0.20463072837565872,1450.1263372032355,999.81542005432624
2.85,2.9061679453686576,10.62216256227952,307.511076534848,431.62887148866272,0.20463028851060797,1450.034086979079,999.8192607672312
3.15,3.2120737753641228,10.611571093078704,307.43320444351508,431.64790966392712,0.20463182281945798,1449.9974953002544,999.82171689753552
3.4499999999999996,3.5179790031026212,10.607001831310656,307.38088342225376,431.62983066993504,0.20461916880886173,1449.9844205456403,999.82357804974576
3.8072492573239384,3.8822595330263432,10.591852974207531,307.41858554395564,431.86650856129032,0.20472344384566458,1449.9310350423818,999.82682597890432
