% Device,CC2435009
% File name,CC2435009_20250513_200211
% Cast time (UTC),2025-05-13 20:02:11
% Cast time (local),2025-05-13 14:02:11
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2841186
% Start longitude,-106.8536483
% Start altitude,2191.98193359375
% Start GPS horizontal error(Meter),4.372000217437744
% Start GPS vertical error(Meter),6.0089998245239256
% Start GPS number of satellites,9
% End latitude,40.2841767
% End longitude,-106.8536215
% End altitude,2178.8859863281248
% End GPS horizontal error(Meter),34.486000061035156
% End GPS vertical error(Meter),55.0260009765625
% End GPS number of satellites,5
% Cast duration (Seconds),11.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1532091972193177,13.152828216552734,331.23580932617188,434.0907670672552,0.20723612005631565,1459.578099593311,999.52209644991984
0.45,0.45899353482724272,13.158059633695162,331.13179086538464,433.89495436107208,0.20714208727064797,1459.6020178852966,999.52275949676016
0.74999999999999984,0.7649875785025584,13.087683548086675,329.87727155372456,433.04979566064456,0.20669547223755594,1459.3479689777203,999.53288037960848
1.05,1.0709791743886738,13.049838512895182,329.56518889937148,433.07041735233784,0.20668677412938515,1459.2136849109347,999.53913128188944
1.35,1.3769691089976133,13.02220043682488,329.43292010556404,433.21127699188208,0.20674154842121325,1459.1169142714218,999.54411403905264
1.65,1.6829574838826394,12.99036513437661,329.42774746237216,433.5674930961384,0.2068994023822031,1459.0047395680118,999.54970160438384
1.95,1.9889444100996595,12.966839187432587,328.95953550899464,433.21954440953776,0.20671740034460992,1458.9226796969213,999.55395890027168
2.25,2.2949303873652816,12.955442874923909,327.8049826652616,431.82868889910008,0.20603213749424451,1458.8846731296109,999.55628174390368
2.55,2.6009153485253148,12.924429561471512,326.28738823017148,430.181009975765,0.20521224326141386,1458.7741296904298,999.56097783831008
2.85,2.9068991406363004,12.904509347343013,324.9283333466248,428.61435082710184,0.2044373694267951,1458.7045050340099,999.5642999581696
3.15,3.2128811361640532,12.842186237309946,323.54933040446172,427.49820052080272,0.20386191290449187,1458.4783993332515,999.57309613821264
3.3232949872811632,3.3896305794558916,12.815290451049805,321.599365234375,425.22397871129792,0.20273919467915293,1458.3803417753264,999.57640198622656
