% Device,CC2435009
% File name,CC2435009_20250517_172030
% Cast time (UTC),2025-05-17 17:20:30
% Cast time (local),2025-05-17 11:20:30
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2864788
% Start longitude,-106.8556851
% Start altitude,2181.4990234375
% Start GPS horizontal error(Meter),2.8859999179840088
% Start GPS vertical error(Meter),3.5269999504089356
% Start GPS number of satellites,16
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),18.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1531718820168248,11.081000688148162,313.89401245117188,434.98518120962112,0.20655952591064179,1451.776189752688,999.76208251384496
0.45,0.45887987366205008,10.764227523299018,310.15448583974332,433.60993277107632,0.20569217566598688,1450.551186257599,999.79476687993056
0.74999999999999984,0.76479152405247888,10.663933862016026,308.3133342089664,432.24807364469736,0.20496474056774342,1450.1640335239837,999.805462930171
1.05,1.070701184537544,10.650304502110424,308.09009391786968,432.1002277829512,0.20488316726943325,1450.1155191849715,999.80815440532608
1.35,1.3766097440114224,10.61404898827959,307.6981968500644,431.98991071097584,0.20480531207227654,1449.9785758842704,999.81304028973392
1.65,1.6825172362610035,10.597981667440608,306.62203362913396,430.673340547258,0.20415362619801562,1449.9197473925254,999.815510947817
1.95,1.9884241106430906,10.592379839713752,306.54069136793068,430.6268543272492,0.20412649306986816,1449.9026102775194,999.8174595671208
2.25,2.2943303167896588,10.578627844992006,306.51945641877832,430.76345967333808,0.20418315811187725,1449.8536927753162,999.82025948922576
2.55,2.6002355644229908,10.554115262474181,306.44206871405468,430.95161622189336,0.20425792199162342,1449.7626611360314,999.82410561445344
2.85,2.9061396747631648,10.52691714727209,306.10789548934836,430.81122718925912,0.20417110252791869,1449.6608483599018,999.82807423110432
3.15,3.212042670597766,10.503859895591773,306.05257244682116,431.01309737426784,0.20425337225659408,1449.5754059970435,999.83177145304032
3.4499999999999996,3.5179445762022924,10.480168505795549,306.10204706128712,431.3706218887976,0.20441087523602653,1449.4875187273648,999.83558143957456
3.75,3.8238453904346808,10.457471885689603,306.15167911273408,431.71673392244136,0.20456342512266182,1449.4034736877728,999.8392861800088
4.05,4.12974510989526,10.433396053087059,306.19724253901904,432.0743657766644,0.20472061996655654,1449.3139685433046,999.84311844492928
4.35,4.4356437519139288,10.411566742768042,306.2193464755436,432.37192624085392,0.20485002660231648,1449.2331973755382,999.84670995097024
4.6499999999999992,4.7415413311077208,10.38754749179696,306.12365968194708,432.53019971631024,0.20491020391496835,1449.1436841953386,999.8504467162208
4.9499999999999992,5.0474375769947112,10.345745396583934,305.83214024521932,432.629354415563,0.20492977037042019,1448.9841034251949,999.85580647129424
5.2499999999999992,5.3533321818000336,10.287476921282634,303.35646730040524,429.835870636368,0.203531994546351,1448.7576959241251,999.86155531499472
5.6239973838070784,5.734678528663548,10.376845572016034,302.35092698729388,427.32883910155768,0.20237156386239869,1449.1140087272595,999.85409891497392
