% Device,CC2435009
% File name,CC2435009_20250513_203612
% Cast time (UTC),2025-05-13 20:36:12
% Cast time (local),2025-05-13 14:36:12
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2854382
% Start longitude,-106.8548799
% Start altitude,2186.9860839843752
% Start GPS horizontal error(Meter),3.7219998836517336
% Start GPS vertical error(Meter),5.3559999465942384
% Start GPS number of satellites,13
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),23.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15320954651164192,13.177423123394302,329.84065498510744,431.98391614727424,0.20621885490405091,1459.6670417159018,999.51812601842288
0.45,0.45899484340164232,13.124580963891427,329.73155898356584,432.43958444534952,0.20641576610716854,1459.4782867342541,999.52650954330976
0.74999999999999984,0.76498855953533328,13.07649892778253,329.51090627699044,432.69590896730616,0.20651741132482496,1459.3066500697658,999.53417542426352
1.05,1.0709800380119086,13.030076447204285,329.11690935636824,432.70608437149576,0.2064995182889177,1459.1407572178035,999.54150860289936
1.35,1.3769699549619477,13.014598742272565,328.72287568381052,432.36399509626784,0.20632429253740355,1459.0884226906928,999.5447574066856
1.65,1.6829592448068922,13.015070926651606,328.48054147932408,432.0398903281184,0.20616544424395222,1459.0948089401178,999.54598594167056
1.95,1.9889478477375606,12.997630825773202,328.3584524730786,432.07753396345728,0.20617464824690141,1459.0354518603562,999.549625520428
2.25,2.2949352010058964,12.970159949486803,328.14936852523344,432.11480931576728,0.20617885059198173,1458.9390989563376,999.55453065712864
2.55,2.6009211361294984,12.944411222568366,328.0777936659838,432.31372301654208,0.20626272856770675,1458.8491236502381,999.55927105129488
2.85,2.9069057476410304,12.921354211010042,327.81787291010636,432.23386892513472,0.20621178929975603,1458.7688524542445,999.56355865706384
3.15,3.2128890844261024,12.897709208363758,327.6842569832048,432.32726176347248,0.20624509274534861,1458.6864636937245,999.56797974046224
3.4499999999999996,3.5188711554433348,12.875221298933757,327.48037515938272,432.3148009812444,0.20622725403717341,1458.6082337910742,999.572208886368
3.75,3.82485229460918,12.86860788481777,327.41968851364392,432.310172992803,0.20622092221211731,1458.5886341922026,999.5744483742048
4.05,4.130832577970704,12.848717852532507,326.91128244360704,431.86572887003744,0.20599347932241517,1458.5196881751616,999.578180710152
4.4101195656336272,4.4981298052105424,12.842796775480702,326.91952835747856,431.944195743611,0.2060278550771383,1458.503651439159,999.58064652684016
