% Device,CC2435009
% File name,CC2435009_20250519_182316
% Cast time (UTC),2025-05-19 18:23:16
% Cast time (local),2025-05-19 12:23:16
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2740052
% Start longitude,-106.8500385
% Start altitude,2180.7080078125
% Start GPS horizontal error(Meter),4.390999794006348
% Start GPS vertical error(Meter),7.47599983215332
% Start GPS number of satellites,13
% End latitude,40.2739358
% End longitude,-106.849948
% End altitude,2180.1279296875
% End GPS horizontal error(Meter),13.699999809265136
% End GPS vertical error(Meter),31.70199966430664
% End GPS number of satellites,12
% Cast duration (Seconds),19.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15316649243365917,10.717700159112394,310.22186279296876,434.26908985043392,0.20598437172954544,1450.3654565120442,999.79814903852272
0.45,0.45886855706561512,10.705964645391574,310.17632989929956,434.34806058283144,0.20601440222608368,1450.324539972695,999.80075170802752
0.74999999999999984,0.76478022531300928,10.706392693576664,310.16201655198044,434.32281050302864,0.20600146241226672,1450.3309982453494,999.80212781213936
1.05,1.0706914585666416,10.70251739988212,310.20759426396228,434.4337834633848,0.20605207514912256,1450.320753237919,999.80397551488928
1.35,1.3766021898757466,10.698623290322634,310.18641800626092,434.45151299482728,0.20605729331968483,1450.3103764782854,999.80578925473984
1.65,1.6825124430748672,10.695795757608725,310.14125978648904,434.42267248010712,0.20604052666131357,1450.3041312425686,999.80748117258944
1.95,1.9884222432482531,10.693137578670173,310.04982457094548,434.3269401402076,0.20599131333983862,1450.2985052284221,999.80913095744336
2.25,2.2943315977303424,10.691710892632072,310.18223804747596,434.52979738148056,0.20608820270837917,1450.2978657907603,999.81077494248432
2.55,2.6002405399954708,10.691582953211942,310.16430006693924,434.50622584256528,0.20607572469779811,1450.3021561414554,999.8122059264344
2.85,2.906149111279052,10.692095027617909,310.16273569901512,434.49780050598976,0.20607102729238333,1450.3089531383763,999.81358037766512
3.15,3.2120572632338424,10.689398552889763,310.24569736191068,434.646855847323,0.20614091968731187,1450.303325704617,999.81532739929632
3.4499999999999996,3.51796497806204,10.688341014960778,310.16242825047084,434.54307405386088,0.20608881079178029,1450.3039395232227,999.81681819670816
3.75,3.8238723203714352,10.689471405526965,310.18574143195416,434.56197194324096,0.2060978063839807,1450.3131662981738,999.81814290429792
4.05,4.1297791786705688,10.681792492073181,310.2026976422598,434.67925232620008,0.20614904311308538,1450.2880728125795,999.82036250084064
4.35,4.4356854870238944,10.67812462899933,310.11758381824888,434.60465907754576,0.206109467223536,1450.278514446743,999.82211822224
4.6499999999999992,4.7415912138988248,10.668531740893224,310.15750395896856,434.77750389621376,0.20618650765476934,1450.2459731511914,999.82454395722688
4.9891902509361808,5.0874583296696792,10.682861328125,309.89395141601564,434.23360666954032,0.20592995989382054,1450.3070126506234,999.8245572833448
