% Device,CC2435009
% File name,CC2435009_20250519_173901
% Cast time (UTC),2025-05-19 17:39:01
% Cast time (local),2025-05-19 11:39:01
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2755173
% Start longitude,-106.8578108
% Start altitude,2182.2060546875
% Start GPS horizontal error(Meter),5.0720000267028808
% Start GPS vertical error(Meter),6.0380001068115232
% Start GPS number of satellites,12
% End latitude,40.2755642
% End longitude,-106.8577539
% End altitude,2187.01708984375
% End GPS horizontal error(Meter),165.24600219726563
% End GPS vertical error(Meter),542.58898925781248
% End GPS number of satellites,5
% Cast duration (Seconds),18.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15316424562040506,10.569592696414405,310.20621378679328,436.05533585160176,0.206758415648292,1449.7879470568256,999.8131489923448
0.45,0.45886138394713448,10.557306145418198,310.21016840593764,436.2115722958252,0.2068255263680744,1449.7447496145818,999.81581198551056
0.74999999999999984,0.76476810459496,10.547583506843354,310.16428845545012,436.26634760663776,0.20684491687192621,1449.7115157564707,999.81818976308992
1.05,1.0706740593332363,10.53149686306976,310.11195050569188,436.39021415392696,0.20689376565493891,1449.653385373657,999.82119900413584
1.35,1.3765792593104714,10.522030294784942,309.98374355601164,436.3260503180204,0.20685542002183552,1449.6210573365926,999.82350392952928
1.65,1.6824838898808294,10.518223035973962,309.96335499852368,436.34411930543816,0.2068607890319409,1449.6109499984438,999.82530157001008
1.95,1.9883880579686589,10.516771832305914,310.02363693808168,436.44681222982856,0.20690887908194685,1449.6101264346118,999.82690756341888
2.25,2.2942916533667036,10.505670842784106,309.99181307172516,436.53845387732688,0.20694526845277568,1449.5714722988678,999.82942562612192
2.55,2.6001943070985848,10.47929556146057,309.92981533959676,436.77560452504928,0.20704241370475366,1449.4729898358042,999.8334436002496
2.85,2.9060959339359388,10.461229920335942,309.660939619629,436.61900660987488,0.20695338193368333,1449.4068128454982,999.8365188288536
3.03988497980525,3.0997161278702504,10.474847793579101,309.57672119140624,436.33269830045504,0.20682244622694573,1449.4631102093789,999.836028210741
