% Device,CC2435009
% File name,CC2435009_20250514_175034
% Cast time (UTC),2025-05-14 17:50:34
% Cast time (local),2025-05-14 11:50:34
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2742778
% Start longitude,-106.8397325
% Start altitude,2186.4279785156248
% Start GPS horizontal error(Meter),3.2890000343322752
% Start GPS vertical error(Meter),4.3550000190734864
% Start GPS number of satellites,14
% End latitude,40.274199
% End longitude,-106.8397193
% End altitude,2191.22802734375
% End GPS horizontal error(Meter),11.355999946594238
% End GPS vertical error(Meter),16.895000457763672
% End GPS number of satellites,14
% Cast duration (Seconds),23
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15318531503529379,11.86106257501799,318.38949322826824,431.87780137956704,0.20549835248423251,1454.7596630113398,999.67707424506016
0.45,0.45892339276467192,11.84810693818024,316.50871600359488,429.47758012996288,0.20432049643589638,1454.7139272209626,999.67903453459776
0.74999999999999984,0.76487153410803264,11.846122185788563,318.691031144492,432.46210488251888,0.2057731443782448,1454.7130284805235,999.68181521534944
1.05,1.0708189256926467,11.836606973207442,318.6315594551444,432.49308994025464,0.2057820903029615,1454.68179007375,999.6843145919336
1.35,1.3767655788168966,11.824467581766008,318.38429171053512,432.29992531947184,0.20568031160503984,1454.6404529656758,999.68702146465328
1.65,1.6827113562508314,11.806393740477304,318.13857851172116,432.17841546080728,0.20561015614185597,1454.5766241159472,999.69041767253904
1.95,1.9886562201895914,11.791886682828101,317.84615928203168,431.9514272563524,0.20549055821484986,1454.5262420932016,999.69337163496144
2.25,2.2946005081690396,11.789844569420582,316.94604157497172,430.75208020641472,0.20490401667210541,1454.5225861216128,999.69456203834544
2.55,2.6005441178440276,11.768510055840008,316.42405258280672,430.29218766582648,0.20466714196822963,1454.4461055500339,999.69818486654672
2.9786569222160004,3.0376929586802984,11.786331169110834,316.0985753847376,429.641344133501,0.2043586561648521,1454.5202868776915,999.69797929715824
