% Device,CC2435009
% File name,CC2435009_20250514_195811
% Cast time (UTC),2025-05-14 19:58:11
% Cast time (local),2025-05-14 13:58:11
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2836225
% Start longitude,-106.8534332
% Start altitude,2190.0849609375
% Start GPS horizontal error(Meter),7.2839999198913568
% Start GPS vertical error(Meter),8.619000434875488
% Start GPS number of satellites,8
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),26.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15317498568597037,11.239181518554688,313.49710083007812,432.53888152739552,0.20546351216979645,1452.3847777695331,999.7447867622192
0.45,0.45889061799639016,11.184178408201618,312.7653950730762,432.18529317524016,0.20525749227632822,1452.1775107223216,999.751801973506
0.74999999999999984,0.76481516838533072,11.133808552521757,313.81940896269948,434.2462385421564,0.20622990420730358,1451.9893000151421,999.75922321037136
1.05,1.0707375099344357,11.07845053132,313.8740264944016,434.9882296385276,0.20655670854687389,1451.7807671312154,999.76661937018096
1.35,1.3766574816627546,11.011470187011973,313.7046656268824,435.56214727943024,0.20679423378074179,1451.52685068625,999.77509302429328
1.65,1.6825748413225661,10.938469697168744,313.40233329292776,436.0262636859268,0.20697415915388778,1451.2490881555706,999.7840728183544
1.95,1.9884893674933827,10.852895551795366,312.535814751365,435.85854076953976,0.20683808746989494,1450.9215658929203,999.79399406300512
2.25,2.2944004294890044,10.733842394798182,311.36162356172508,435.66770699006944,0.20666894385394458,1450.4628730675184,999.80709672550672
2.55,2.6003057709473148,10.496828089091352,310.05335305766204,436.73388546080488,0.20703363437863571,1449.541723911792,999.831767895722
2.85,2.9062034864889524,10.23537879612552,307.40453679613348,436.21574011563584,0.20660635052840323,1448.5177433601504,999.85732735925872
3.15,3.2120949689042956,10.070218703270227,304.56575056724476,434.22277052815272,0.20552366914281779,1447.868191546273,999.87289558274336
3.4499999999999996,3.5179810793697276,9.8553254640651936,302.0786401767756,433.33211805497232,0.20494022659052605,1447.0186384045386,999.89282696476304
3.75,3.823860660035392,9.608774535003952,301.48920817284556,435.56758686718856,0.20584858089170595,1446.0396263970448,999.91596628744704
4.05,4.1297340085356184,9.41347057170751,300.90143808265528,437.18554549106792,0.206489419266206,1445.26075145814,999.93395335687392
4.35,4.4356025648248576,9.2597931309543232,299.76846344939076,437.49310205049776,0.20652204373889347,1444.6456533179395,999.94767941568816
4.6499999999999992,4.7414670951286448,9.11639840590124,299.35806228437532,438.73045847740224,0.20701166607398029,1444.0704995467056,999.960657536447
4.9499999999999992,5.0473275928419856,8.9558108637022544,298.43289725616768,439.4430432747868,0.20723095549080589,1443.422966709281,999.97442750893168
5.2499999999999992,5.3531840963234752,8.80152929039193,297.14453110917348,439.543028595509,0.20715563164982541,1442.7982615483674,999.987155490393
5.55,5.6590373630735608,8.6927189447373264,295.5554655583752,438.60435550354984,0.20661160211788835,1442.3570240656758,999.99597280661936
5.85,5.9648879991703648,8.58251260363273,293.98510590952088,437.70564367735776,0.20608499395858134,1441.908883070504,1000.004738053772
6.1499999999999992,6.27073560853502,8.436603428894464,292.83560705964476,437.89676137766568,0.20605576513547952,1441.3129877183494,1000.016145761825
6.4499999999999992,6.5765797967790672,8.2922532546656384,292.27947997978016,438.9601955506264,0.20644823466702064,1440.7219385512539,1000.0274904477818
6.7499999999999992,6.882420834477292,8.1690155907006224,291.75212538135388,439.79617752531448,0.20674648467900467,1440.2163214656869,1000.0371292105722
7.0499999999999992,7.1882592359710496,8.0651922224916832,290.95732116699332,439.9752452808632,0.20674202026812586,1439.7895872188645,1000.0451107083176
7.35,7.4940954454361616,7.9791249343315952,290.27195235722216,440.08437600332784,0.2067182839859089,1439.4357932097098,1000.0518449741174
7.65,7.7999298247804816,7.9110071028050784,289.826588664239,440.31862616494712,0.20677030165565254,1439.1563326434182,1000.0574598637437
7.95,8.1057629352024144,7.883948046584432,289.61291354054572,440.35605628963864,0.20676330066894672,1439.0480212273429,1000.0605240879755
8.25,8.4115953608155056,7.8782473043959872,289.58014748313168,440.38258001121208,0.20677003063110413,1439.0289587655877,1000.0623189905774
8.5499999999999984,8.7174270277819776,7.8454091102539552,289.58391158461512,440.82859588162416,0.20695542424222886,1438.8966267593235,1000.0658661403328
8.85,9.023257672578224,7.815012380026256,289.827005284272,441.60733801929488,0.20730383763988992,1438.7746154771397,1000.0693845092662
9.094282997065576,9.2722877953392048,7.8030757904052736,289.77828979492188,441.69377842257168,0.20733406617195958,1438.7285451245298,1000.0712894367341
