% Device,CC2435009
% File name,CC2435009_20250514_195430
% Cast time (UTC),2025-05-14 19:54:30
% Cast time (local),2025-05-14 13:54:30
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2834615
% Start longitude,-106.8537321
% Start altitude,2187.29296875
% Start GPS horizontal error(Meter),6.4349999427795408
% Start GPS vertical error(Meter),8.07699966430664
% Start GPS number of satellites,8
% End latitude,40.28348
% End longitude,-106.8537456
% End altitude,2186.7648925781248
% End GPS horizontal error(Meter),11.20300006866455
% End GPS vertical error(Meter),13.083999633789062
% End GPS number of satellites,8
% Cast duration (Seconds),41.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15317919774046448,11.51097272705481,316.83584594726564,433.89126922998776,0.20628195572565766,1453.4282462157523,999.71643251615392
0.45,0.45890121840357008,11.289509181558651,315.78486755816612,435.09112506630352,0.20673583985538285,1452.5847407981709,999.741911009837
0.74999999999999984,0.76482919811109264,11.241689771562075,315.63654479145824,435.46057976459216,0.20688639043032019,1452.4058311326912,999.7484879906328
1.05,1.0707565330287605,11.271974559750163,315.45432843852484,434.84581728364784,0.20660406714665062,1452.5267939091046,999.74650565397008
1.35,1.3766837195345637,11.252839496633638,315.10576180164624,434.59459476395816,0.2064693547902249,1452.4578413213638,999.74983842536544
1.65,1.6826094310154496,11.203581234534275,314.91313835040916,434.91987202914648,0.20659738393953242,1452.2731903821408,999.75652668050448
1.95,1.9885328837100115,11.13773554602147,314.7357403750374,435.46688194425032,0.2068231693139344,1452.0244413809859,999.76498219863328
2.25,2.2944500582192656,10.833596169798915,313.50177801114308,437.44113279281608,0.20759560950329402,1450.8523109492877,999.79794271378848
2.55,2.600358784879606,10.604458462627141,309.30180676443116,434.35825191541016,0.20594772338993238,1449.9617297505888,999.82058133969696
2.85,2.906261278714112,10.420590602060722,306.94387796524188,433.28452850160032,0.20530444773196282,1449.2452107797514,999.8390656351608
3.15,3.2121571038470132,10.160735776497005,304.94885464051912,433.64970599443552,0.20530703025577498,1448.2261237092768,999.86455557860448
3.4499999999999996,3.5180454038676652,9.9091602689397872,303.4115945461034,434.57303499801176,0.20558103621250246,1447.233716651863,999.888640386977
3.75,3.8239275328551272,9.73134671284018,301.78837294615932,434.46108704242688,0.20539962706159354,1446.5294711480595,999.90527994751168
4.05,4.129805277392564,9.6028053016579,301.05674638310528,435.017831298032,0.20557627940179296,1446.0201486892723,999.91768579926752
4.35,4.435679137700208,9.46360248550606,300.81054628165896,436.41773434475864,0.20615290768751469,1445.4668328648771,999.931055754986
4.6499999999999992,4.741549010623036,9.3249532608145568,300.5913415639858,437.86125399789184,0.20674913852165184,1444.9138595609443,999.944136706218
4.9499999999999992,5.0474143948888352,9.1372083996622912,300.03394519485744,439.45295948368408,0.20737744203262858,1444.1601215415517,999.960784974845
5.2499999999999992,5.35327471943483,8.9417834981695424,299.54279965819676,441.25966402789488,0.20810029497233082,1443.3717211702826,999.97760076392656
5.55,5.6591312417008744,8.84091333876941,297.96973760258148,440.2507323305844,0.20752947715282026,1442.9644023474461,999.98602774464464
5.85,5.9649854844432448,8.7466639253123456,294.77318629616404,436.74418743813024,0.2057524535067809,1442.5816272085622,999.9928869272672
6.1499999999999992,6.2708358737536808,8.5067570159683056,293.76279915977476,438.36352025917688,0.20634028640136845,1441.602400977592,1000.0116062719829
6.4499999999999992,6.5766811495599536,8.3014191543307024,292.02923788135388,438.46365304731584,0.20621554360329603,1440.7595683870659,1000.0267059352715
6.7499999999999992,6.8825224643572592,8.1543917122032208,291.34777949093696,439.38037231987552,0.20653253697032384,1440.1553369063792,1000.0378896026464
7.0499999999999992,7.1883612524738968,8.0878737965455072,290.98241434234212,439.71156341378712,0.206634163095142,1439.8838070681909,1000.0436099003123
7.35,7.4941984298081888,8.0295710469247232,290.75165796342196,440.13841044189544,0.20678880757090726,1439.6461143190038,1000.0488041512018
7.65,7.8000342507052768,7.986231233422888,290.33019336516212,440.07784840692656,0.20672037740972387,1439.4701860867224,1000.0528611982171
7.95,8.1058686914479792,7.9263134168787216,290.32661763078444,440.8732522754232,0.207051262481661,1439.225372491655,1000.0582106495158
8.1513413184600336,8.3111249785163488,7.9070138931274416,290.33746337890624,441.14829793101128,0.20716650682531024,1439.1481121649037,1000.0604358192984
