% Device,CC2435009
% File name,CC2435009_20250519_191035
% Cast time (UTC),2025-05-19 19:10:35
% Cast time (local),2025-05-19 13:10:35
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.2836196
% Start longitude,-106.8534631
% Start altitude,2179.4650878906248
% Start GPS horizontal error(Meter),4.0219998359680176
% Start GPS vertical error(Meter),5.6799998283386232
% Start GPS number of satellites,11
% End latitude,40.2836173
% End longitude,-106.8534432
% End altitude,2180.8010253906248
% End GPS horizontal error(Meter),9.281999588012696
% End GPS vertical error(Meter),10.991000175476074
% End GPS number of satellites,11
% Cast duration (Seconds),48.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-10-09
% Temperature calibration date,2024-10-07
% Pressure calibration date,2024-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15316674133644198,10.738621135717285,308.82171630859376,432.05600341412784,0.20492065522690272,1450.4456680273744,999.79525752455648
0.45,0.45886967073382968,10.726459934426947,308.58958678607764,431.878203651396,0.20482551274602426,1450.4029595543514,999.79780675081264
0.74999999999999984,0.764781921046086,10.71663985853388,308.70818491569952,432.16297241065768,0.20495692471574422,1450.369647716983,999.80030241530336
1.05,1.0706934968963085,10.70789954371773,308.65697841977208,432.19705214231184,0.20496703267682269,1450.3403852332579,999.80259583079664
1.35,1.3766044265146349,10.698655203944376,308.54448145484692,432.15140695377736,0.2049380212661312,1450.3091001763245,999.80490698907344
1.65,1.6825147211597328,10.690684027550635,308.50572615649556,432.1936305820748,0.20495256846332442,1450.282828226831,999.80712683042608
1.95,1.9884244683100147,10.687366075314786,308.45638336934888,432.16468079821456,0.20493544818579958,1450.2746667387222,999.80886619471792
2.25,2.2943337634003756,10.685089183840995,308.3376534223846,432.02589719462824,0.20486555237954634,1450.2705002385014,999.81046222839152
2.55,2.600242543237376,10.67810360552028,308.36262258042852,432.1454777836304,0.20491835659820224,1450.2481116366928,999.8126146767784
2.85,2.906150755684936,10.67284670132245,308.31439804055988,432.14156781764512,0.20491217764598557,1450.2323916888291,999.8145515179064
3.15,3.212058337508532,10.661609317573362,308.3060913890456,432.26609411190848,0.2049646592780959,1450.193394822856,999.8171173283944
3.4499999999999996,3.517965162628312,10.64810736336807,308.2361030505192,432.33165215281816,0.20498698809705814,1450.1455034683619,999.81987833763744
3.75,3.8238711486086624,10.630495165690694,308.03515901409604,432.26337099955488,0.20494154850617699,1450.0814501044182,999.82298303786528
4.05,4.1297761298521728,10.605618788570754,307.85179324618604,432.30788246405248,0.20494628005000819,1449.9890306659139,999.82682656079152
4.35,4.4356798911618584,10.573948053207235,307.65479013547268,432.41586465932824,0.20497744339989062,1449.8700009070006,999.8313380216864
4.6499999999999992,4.7415824611980056,10.550354407425466,307.3951484008436,432.3376707837228,0.20492320307921123,1449.7823917313491,999.8349942549408
4.9499999999999992,5.0474839004775512,10.523005544125563,307.30607956403524,432.54515609934712,0.20500543355333354,1449.6801874774211,999.83911018696832
5.2499999999999992,5.3533842985315224,10.506286605463109,307.25933601100992,432.68300544238552,0.20506066443344646,1449.6195444849184,999.84218120562032
5.55,5.6592839366631352,10.497784422388114,307.26240384341,432.79095983469688,0.20510669776348048,1449.5910773252218,999.84445829107648
5.85,5.9651828721287224,10.484570501723714,307.17671105566228,432.831378134816,0.20511679321873274,1449.5440816332522,999.84715504946432
6.1499999999999992,6.2710809408830656,10.464986791601886,307.13419240526064,433.01044239778216,0.2051901302469031,1449.4721582348995,999.850504542809
6.4499999999999992,6.5769778743292784,10.433926482780168,307.04370489352344,433.26232141213248,0.20529129158176733,1449.3551755279469,999.85495720228896
6.7499999999999992,6.882873464236304,10.399613271440645,306.86171330448156,433.42523398701712,0.20534694502102736,1449.2252582168294,999.85966800583168
7.0499999999999992,7.1887674314033824,10.348960540457906,306.652747451573,433.75072811631912,0.20547069081824278,1449.0310314294467,999.86594597377872
7.35,7.494659053110072,10.265484162857379,306.47157655257284,434.52058553524344,0.20578823565910944,1448.7074284498269,999.875381620914
7.65,7.8005457268307824,10.03457292766973,306.3214739050154,437.17026968964104,0.2069177379335671,1447.8005805909837,999.89867422586352
7.95,8.1064262786867008,9.856006518426,304.8430040167684,437.28905641502368,0.20684921573410304,1447.0956281967616,999.91578524285952
8.25,8.4123040289393344,9.8438256174444768,303.101143615593,434.94240119237384,0.20569931510775485,1447.050446711935,999.9173713069568
8.5499999999999984,8.71817961215779,9.7058384784377408,301.4723652259264,434.32514303497816,0.20530008501617552,1446.5040312677936,999.9303340072608
8.85,9.024042790143328,8.85983882878076,295.23654370950704,435.96861934640528,0.20545713499177814,1443.0915479288362,999.99886408975776
9.0059595088246448,9.1830416807375328,8.307587623596192,294.12322998046876,441.52586687500328,0.20769547387357062,1440.8275770414984,1000.0397937106901
