Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
0.15,0.15315075089188973,9.15352384653342,296.33987439370026,433.8349912666168,0.20467939955762723,1444.1463585455856,999.9343607210437,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
0.45,0.4587921774804106,9.255136229135488,295.8354660794485,431.8118370637621,0.20377406573112766,1444.561198087055,999.927171522606,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
0.7499999999999999,0.7646533895258024,9.13231802780097,295.647001860651,433.0895452512848,0.20429962379065045,1444.069488864193,999.9385741636409,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
1.05,1.0705114332651957,9.033097360542623,296.12184192233775,435.04979694510007,0.20517297521207795,1443.6726455605872,999.9482680653855,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
1.35,1.3763664901164638,8.92536927611244,296.57054736344935,437.0925854184746,0.20607851666796084,1443.2402018806606,999.9584849263973,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
1.65,1.6822196944639498,8.913977629902886,296.47100612620926,437.092648585111,0.20606857614981947,1443.1985414108842,999.960761620049,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
2.094145396176507,2.135030035637058,8.925131542579443,296.00580987503497,436.26331927927527,0.20567370092564635,1443.250563535693,999.9617579851393,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211
0.15,0.15315541648743136,9.902308829330781,302.4979248046875,433.3494472871061,0.20499205122753067,1447.1530108199745,999.8730014493625,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
0.45,0.4588332536543014,9.917990489769553,302.1495113671259,432.6559276881228,0.20466510777638772,1447.2197604480382,999.8728067856423,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
0.7499999999999999,0.7647213026120435,9.872993566177188,302.3418961019203,433.4900236312912,0.205037886782847,1447.0459926389076,999.878460453727,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
1.05,1.0706080314014812,9.85168186175038,302.31294794360036,433.7135710448854,0.20513054560198854,1446.9660380835699,999.8818179107046,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
1.35,1.3764934960702297,9.808613173941103,302.2247397591694,434.12350019366033,0.2052982989025738,1446.7994056104994,999.8871052573605,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
1.65,1.6823779765613105,9.806209041503969,301.99965915865624,433.8301519687806,0.2051531288275949,1446.794426510162,999.888632589368,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
1.95,1.9882619596403082,9.799239052899129,302.07610334597246,434.0268804251432,0.2052428095712944,1446.7715343851953,999.8907376669099,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
2.25,2.294144997762792,9.76529209156583,302.01143591274496,434.3576851264453,0.20537841028159298,1446.6410508006059,999.8951909378732,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
2.55,2.6000269766563853,9.749072896513669,301.94545322456355,434.4654807392824,0.20541824638118533,1446.5811375480855,999.8980431295722,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
2.85,2.905908059621757,9.726948018815898,301.8964802177795,434.67177140675415,0.2055016709741003,1446.4976593459503,999.901428828087,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
3.15,3.211788259332579,9.71230385589651,301.9488524803716,434.93058503675235,0.20561593522383162,1446.4440730463339,999.904198194089,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
3.4499999999999997,3.517667879453775,9.71188396457765,301.81894289396877,434.748720642713,0.20552633851423843,1446.4470704576934,999.905598599022,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
3.71054346350175,3.7833170478905953,9.68559625940333,301.8493696521007,435.1220711252278,0.20568795263933734,1446.346330442159,999.9091986931724,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617
0.15,0.15319504645777965,12.425925254821777,324.11712646484375,433.0115077423317,0.20635228936342423,1456.8860411921569,999.6119485943558,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530
0.45,0.4589540298048939,12.445137736257392,323.94066842117013,432.55371458749465,0.20613793878635667,1456.962370118242,999.6108890261389,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530
0.7499999999999999,0.7649235181866961,12.450413415387407,323.98018717241854,432.5455417259873,0.20613578207831273,1456.986900304776,999.6116688390777,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530
1.05,1.070892894269101,12.458193287518181,323.7573374315302,432.15823964928467,0.20594994636350963,1457.02054993181,999.6120031789666,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530
